
Consulta movimento de saídas - 534 - OXIGENIO MODELO INDUSTRIA E COMERCIO DE GASES LTDA

Chave;Cliente;Nome cliente;UF;Data emissão;Documento;até documento;CFOP;Modelo;Espécie;Série;Condições;Emitente;Valor contábil;Base de ICMS;Alíq. de ICMS;Valor do ICMS;ICMS isentas;Outras ICMS;ICMS desonerado;Base de IPI;Valor do IPI;IPI isentos;IPI outros;Base S.T.;Alíq. S.T.;Valor S.T.;Cód. Receita PIS;Retenção PIS;Cód. Receita Cofins;Retenção Cofins;Cód. Receita CSLL;Ret. Contrib. Social;Cód. Receita IR;Retenção IR;Débito;Crédito;Cód. obs.;Observação;Cidade coleta merc.;Descrição;Desconto;Chave NF-e/CT-e/NFC-e/BP-e;Outros Impostos;PIS lucro real;Cofins lucro real;Número de série do MRC;Número da máquina;Valor de frete;Valor de seguro;Valor de outras despesas;Valor do FCP da UF de destino;Valor de ICMS para a UF de destino;Valor de ICMS para a UF do Remetente;Lançamento conferido;FCP S.T.;Materiais próprios;Materiais de terceiros;Subempreitadas;Valor retenção não efetuada;Valor ret. destacada das subemp.;CEI Obra;CNO;Tipo de serviço;Receita 15 anos;Valor 15 anos;Receita 20 anos;Valor 20 anos;Receita 25 anos;Valor 25 anos;Valor retenção adic. não efetuada;Base ICMS Concomitante;Alíquota ICMS Concomitante;Valor ICMS Concomitante;Usuário inclusão;Data inclusão;Hora inclusão;Tipo inclusão;Usuário alteração;Data alteração;Hora alteração;Tipo alteração;Situação do documento
163;9262214;MILTON ROGERIO;MS;21/01/2025;1885;1885;5.103-000;55;NFe;7;Prazo;Próprio;350;350;17;59.5;0;0;0;0;0;0;350;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 3527|DOCTO: ORCAMENTO 6930 - 6|Titulos: Nro 1885 Venc. 18-02-2025 Valor 350.00||Local Aplicado: RUA PATRICIO FERNANDES. 339 - - CENTRO - PARANHOS - MS|Valor Aproximado dos Tributos R$ 110.08 (31.45%) Fonte: IBPT|;0;;0;'50250127479311000131550070000018851000018868;0;4.79;22.08; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:34;Troca global;00 - Documento regular
164;3770;GILBERTO VITOR DOS SANTOS;MS;21/01/2025;1886;1886;5.103-000;55;NFe;7;Prazo;Próprio;200;200;17;34;0;0;0;0;0;0;200;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 1375|DOCTO: ORCAMENTO 6931 - 6|Titulos: Nro 1886 Venc. 18-02-2025 Valor 200.00||Local Aplicado: AVENIDA MARECHAL DUTRA. 1259 - - CENTRO - PARANHOS - MS|Declaro que os produtos perigosos estao adequadamente classificados. embalados. identificado;0;;0;'50250127479311000131550070000018861000018873;0;2.74;12.62; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:34;Troca global;00 - Documento regular
165;9340550;MACHADO NOGUEIRA LTDA;MS;24/01/2025;1887;1887;5.103-000;55;NFe;7;Prazo;Próprio;400;400;17;68;0;0;0;0;0;0;400;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 7400|DOCTO: ORCAMENTO 6934 - 6|Titulos: Nro 1887 Venc. 21-02-2025 Valor 400.00||Local Aplicado: RUA RUA IZIDORA VILHALVA. 557 - - CENTRO - TACURU - MS|Valor Aproximado dos Tributos R$ 125.80 (31.45%) Fonte: IBPT|;0;;0;'50250127479311000131550070000018871000018889;0;5.48;25.23; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:35;Troca global;00 - Documento regular
166;9316110;R V DE SOUSA LUZIA TORNEARIA LTDA;MS;22/01/2025;1888;1888;5.103-000;55;NFe;7;Prazo;Próprio;170;170;17;28.9;0;0;0;0;0;0;170;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 7713|DOCTO: ORCAMENTO 6938 - 6|Titulos: Nro 1888 Venc. 19-02-2025 Valor 170.00||Local Aplicado: RODOVIA MS 295 IGT/ELDORADO KM 0.5. 483 - FUNDOS - VILA INDUSTRIAL - IGUATEMI - MS|Declaro que os produtos perigosos estao adequadamente classificad;0;;0;'50250127479311000131550070000018881000018894;0;2.33;10.72; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:35;Troca global;00 - Documento regular
167;8247;MECANICA E TORNEARIA TORMAX LTDA;MS;22/01/2025;1890;1890;5.103-000;55;NFe;7;Prazo;Próprio;170;170;17;28.9;0;0;0;0;0;0;170;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 1837|DOCTO: ORCAMENTO 6939 - 6|Titulos: Nro 1890 Venc. 19-02-2025 Valor 170.00||Local Aplicado: ROD MS 295. 0 - KM 04 - CENTRO - IGUATEMI - MS|Declaro que os produtos perigosos estao adequadamente classificados. embalados. identificados. e esti;0;;0;'50250127479311000131550070000018901000018914;0;2.33;10.72; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:35;Troca global;00 - Documento regular
168;9351220;COMPOSTES CONSTRUTORA E ARTEFATOS DE CIMENTO EIRELI;MS;23/01/2025;1891;1891;5.103-000;55;NFe;7;Prazo;Próprio;1540;1540;17;261.8;0;0;0;0;0;0;1540;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 7127|DOCTO: ORCAMENTO 6942 - 6|Titulos: Nro 1891 Venc. 20-02-2025 Valor 1540.00||Local Aplicado: TRAVESSA ANTONIO MENDES. 64 - - ITAIPU - MUNDO NOVO - MS|Valor Aproximado dos Tributos R$ 484.33 (31.45%) Fonte: IBPT|;0;;0;'50250127479311000131550070000018911000018920;0;21.09;97.14; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:35;Troca global;00 - Documento regular
169;9376884;DOUGLAS FERNANDO DA SILVA COSTA;MS;23/01/2025;1894;1894;5.103-000;55;NFe;7;Prazo;Próprio;400;400;17;68;0;0;0;0;0;0;400;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 6718|DOCTO: ORCAMENTO 6955 - 6|Titulos: Nro 1894 Venc. 20-02-2025 Valor 400.00||Local Aplicado: RUA ELDORADO. 1422. 0 - - CENTRO - ITAQUIRAI - MS|Valor Aproximado dos Tributos R$ 125.80 (31.45%) Fonte: IBPT|;0;;0;'50250127479311000131550070000018941000018956;0;5.48;25.23; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:35;Troca global;00 - Documento regular
170;27381;LEVINO JOSE SPERAFICO;MS;24/01/2025;1895;1895;5.103-000;55;NFe;7;Prazo;Próprio;1310;1310;17;222.7;0;0;0;0;0;0;1310;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 11|DOCTO: ORCAMENTO 6957 - 6|Titulos: Nro 1895 Venc. 21-02-2025 Valor 1310.00||Local Aplicado: ROD AMAMBAI CEL SAPUCIA KM10. 0|Declaro que os produtos perigosos estao adequadamente classificados. embalados. identificados. e estivados para supor;0;;0;'50250127479311000131550070000018951000018961;0;17.93;82.64; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:36;Troca global;00 - Documento regular
171;27603;MAQSOLDAS - COMERCIO E REPRESENTACOES LTDA;MS;27/01/2025;1896;1896;5.103-000;55;NFe;7;Prazo;Próprio;240;240;17;40.8;0;0;0;0;0;0;240;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 902|DOCTO: ORCAMENTO 6958 - 6|Titulos: Nro 1896 Venc. 24-02-2025 Valor 350.00||Local Aplicado: AV AMELIA FUKUDA. 1360 - - JARDIM OASIS - NAVIRAI - MS|Declaro que os produtos perigosos estao adequadamente classificados. embalados. identificados.;0;;0;'50250127479311000131550070000018961000018977;0;3.29;15.14; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:36;Troca global;00 - Documento regular
172;27603;MAQSOLDAS - COMERCIO E REPRESENTACOES LTDA;MS;27/01/2025;1896;1896;5.104-000;55;NFe;7;Prazo;Próprio;110;110;17;18.7;0;0;0;0;0;0;110;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 902|DOCTO: ORCAMENTO 6958 - 6|Titulos: Nro 1896 Venc. 24-02-2025 Valor 350.00||Local Aplicado: AV AMELIA FUKUDA. 1360 - - JARDIM OASIS - NAVIRAI - MS|Declaro que os produtos perigosos estao adequadamente classificados. embalados. identificados.;0;;0;'50250127479311000131550070000018961000018977;0;1.51;6.94; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:36;Troca global;00 - Documento regular
173;9317;USINA RIO PARANA S.A EM RECUPERACAO JUDICIAL;MS;27/01/2025;1897;1897;5.103-000;55;NFe;7;Prazo;Próprio;440;440;17;74.8;0;0;0;0;0;0;440;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 2390|DOCTO: ORCAMENTO 6960 - 6|Titulos: Nro 1897 Venc. 24-02-2025 Valor 1160.00||Local Aplicado: RODOVIA BR 163. 0 - KM 57 - ZONA RURAL - ELDORADO - MS|Declaro que os produtos perigosos estao adequadamente classificados. embalados. identificado;0;;0;'50250127479311000131550070000018971000018982;0;6.03;27.76; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:36;Troca global;00 - Documento regular
174;9317;USINA RIO PARANA S.A EM RECUPERACAO JUDICIAL;MS;27/01/2025;1897;1897;5.104-000;55;NFe;7;Prazo;Próprio;720;720;17;122.4;0;0;0;0;0;0;720;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 2390|DOCTO: ORCAMENTO 6960 - 6|Titulos: Nro 1897 Venc. 24-02-2025 Valor 1160.00||Local Aplicado: RODOVIA BR 163. 0 - KM 57 - ZONA RURAL - ELDORADO - MS|Declaro que os produtos perigosos estao adequadamente classificados. embalados. identificado;0;;0;'50250127479311000131550070000018971000018982;0;9.86;45.42; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:36;Troca global;00 - Documento regular
175;9353377;M. PEREIRA SANTOS;MS;27/01/2025;1898;1898;5.103-000;55;NFe;7;Prazo;Próprio;375;375;17;63.75;0;0;0;0;0;0;375;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 5481|DOCTO: ORCAMENTO 6961 - 6|Titulos: Nro 1898 Venc. 24-02-2025 Valor 375.00||Local Aplicado: RUA RUI BARBOSA. 298 - - JARDIM DAS GREVILEAS - ELDORADO - MS|Valor Aproximado dos Tributos R$ 117.94 (31.45%) Fonte: IBPT|;0;;0;'50250127479311000131550070000018981000018998;0;5.14;23.66; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:37;Troca global;00 - Documento regular
176;9268712;BSB PRODUTORA DE EQUIPAMENTOS DE PROTECAO INDIVIDUAL S.A.;MS;27/01/2025;1899;1899;5.103-000;55;NFe;7;Prazo;Próprio;150;150;17;25.5;0;0;0;0;0;0;150;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 4391|DOCTO: ORCAMENTO 6963 - 6|Titulos: Nro 1899 Venc. 24-02-2025 Valor 350.00||Local Aplicado: RUA RUI BARBOSA|Declaro que os produtos perigosos estao adequadamente classificados. embalados. identificados. e estivados para suportar os riscos d;0;;0;'50250127479311000131550070000018991000019002;0;2.05;9.46; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:37;Troca global;00 - Documento regular
177;9268712;BSB PRODUTORA DE EQUIPAMENTOS DE PROTECAO INDIVIDUAL S.A.;MS;27/01/2025;1899;1899;5.104-000;55;NFe;7;Prazo;Próprio;200;200;17;34;0;0;0;0;0;0;200;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 4391|DOCTO: ORCAMENTO 6963 - 6|Titulos: Nro 1899 Venc. 24-02-2025 Valor 350.00||Local Aplicado: RUA RUI BARBOSA|Declaro que os produtos perigosos estao adequadamente classificados. embalados. identificados. e estivados para suportar os riscos d;0;;0;'50250127479311000131550070000018991000019002;0;2.74;12.62; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:37;Troca global;00 - Documento regular
178;9339855;MECANICA SATELITE LTDA;MS;29/01/2025;1900;1900;5.103-000;55;NFe;7;Prazo;Próprio;180;180;17;30.6;0;0;0;0;0;0;180;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 6606|DOCTO: ORCAMENTO 6970 - 6|Titulos: Nro 1900 Venc. 26-02-2025 Valor 180.00||Local Aplicado: ROD IGUATEMI A ELDORADO. KM 0.5 S/N. 0 - - CENTRO - IGUATEMI - MS|Declaro que os produtos perigosos estao adequadamente classificados. embalados. id;0;;0;'50250127479311000131550070000019001000019013;0;2.47;11.35; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:37;Troca global;00 - Documento regular
179;9278239;GERMANO GHIOTTO;MS;29/01/2025;1901;1901;5.103-000;55;NFe;7;Prazo;Próprio;300;300;17;51;0;0;0;0;0;0;300;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 3500|DOCTO: ORCAMENTO 6976 - 6|Titulos: Nro 1901 Venc. 26-02-2025 Valor 300.00||Local Aplicado: R IZIDORA VILHALVA. 210 - - CENTRO - TACURU - MS|Valor Aproximado dos Tributos R$ 94.35 (31.45%) Fonte: IBPT|;0;;0;'50250127479311000131550070000019011000019029;0;4.11;18.92; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:37;Troca global;00 - Documento regular
180;23679;VALDECIR NATALICIO DA SILVA;MS;29/01/2025;1902;1902;5.103-000;55;NFe;7;Prazo;Próprio;250;250;17;42.5;0;0;0;0;0;0;250;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 1910|DOCTO: ORCAMENTO 6977 - 6|Titulos: Nro 1902 Venc. 26-02-2025 Valor 250.00||Local Aplicado: AV PEDRO MANVAILER 609. 0. 0 - - JD PAULISTA - AMAMBAI - MS|Declaro que os produtos perigosos estao adequadamente classificados. embalados. identifi;0;;0;'50250127479311000131550070000019021000019034;0;3.42;15.77; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:38;Troca global;00 - Documento regular
181;9287168;FABIO DIOMAR POTT - EIRELI;MS;30/01/2025;1903;1903;5.103-000;55;NFe;7;Prazo;Próprio;330;330;17;56.1;0;0;0;0;0;0;330;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 3713|DOCTO: ORCAMENTO 6980 - 6|Titulos: Nro 1903 Venc. 27-02-2025 Valor 330.00||Local Aplicado: AV PEDRO MANVAILER. 4096 - - VILA CRISTINA - AMAMBAI - MS|Declaro que os produtos perigosos estao adequadamente classificados. embalados. identifica;0;;0;'50250127479311000131550070000019031000019040;0;4.52;20.82; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:38;Troca global;00 - Documento regular
182;9354106;TERRA PRODUTIVA AGRONEGOCIOS E LOCACOES LTDA;MS;31/01/2025;1904;1904;5.103-000;55;NFe;7;Prazo;Próprio;535;535;17;90.95;0;0;0;0;0;0;535;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 7768|DOCTO: ORCAMENTO 6981 - 6|Titulos: Nro 1904 Venc. 28-02-2025 Valor 535.00||Local Aplicado: RUA MONTE CASTELO. 2483 - ANEXO B - MENDONCA - AMAMBAI - MS|Declaro que os produtos perigosos estao adequadamente classificados. embalados. identifi;0;;0;'50250127479311000131550070000019041000019055;0;7.33;33.75; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:38;Troca global;00 - Documento regular
183;9319108;EVERTON JHONY MOURA DA SILVA;MS;30/01/2025;1905;1905;5.103-000;55;NFe;7;Prazo;Próprio;1480;1480;17;251.6;0;0;0;0;0;0;1480;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 5957|DOCTO: ORCAMENTO 6982 - 6|Titulos: Nro 1905 Venc. 19-02-2025 Valor 740.00 - Nro 1905 Vencto 11-03-2025 Valor 740.00||Local Aplicado: RUA CLEMENTE BARBOSA FREITAS 265. 0 - - VILA INDUSTRIAL - CORONEL SAPUCAIA - MS|Declaro que os produtos pe;0;;0;'50250127479311000131550070000019051000019060;0;20.27;93.35; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:38;Troca global;00 - Documento regular
184;9261475;SCARPINI  SCARPINI LTDA;MS;31/01/2025;1906;1906;5.103-000;55;NFe;7;Prazo;Próprio;1500;1500;17;255;0;0;0;0;0;0;1500;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 57|DOCTO: ORCAMENTO 6985 - 6|Titulos: Nro 1906 Venc. 20-02-2025 Valor 750.00 - Nro 1906 Vencto 12-03-2025 Valor 750.00||Local Aplicado: R RACHID SALDANHA DERZI. 1623 - - CENTRO - CORONEL SAPUCAIA - MS|Declaro que os produtos perigosos estao ade;0;;0;'50250127479311000131550070000019061000019076;0;20.54;94.62; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:38;Troca global;00 - Documento regular
185;9343510;FRANKELIN PRE-MOLDADOS EIRELI;MS;30/01/2025;1907;1907;5.103-000;55;NFe;7;Prazo;Próprio;705;705;17;119.85;0;0;0;0;0;0;705;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 7452|DOCTO: ORCAMENTO 6991 - 6|Titulos: Nro 1907 Venc. 27-02-2025 Valor 705.00||Local Aplicado: AVENIDA PEDRO MANVAILER. 405 - - VILA PAULISTA - AMAMBAI - MS|Valor Aproximado dos Tributos R$ 221.72 (31.45%) Fonte: IBPT|;0;;0;'50250127479311000131550070000019071000019081;0;9.65;44.47; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:38;Troca global;00 - Documento regular
186;9299108;OSMAR BIAZETI PEREIRA;MS;30/01/2025;1908;1908;5.103-000;55;NFe;7;Prazo;Próprio;635;635;17;107.95;0;0;0;0;0;0;635;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 2620|DOCTO: ORCAMENTO 6993 - 6|Titulos: Nro 1908 Venc. 27-02-2025 Valor 635.00||Local Aplicado: R ANTONIO MARTINS DUTRA. 864 - - VILA CASSIANO MARCELO - AMAMBAI - MS|Declaro que os produtos perigosos estao adequadamente classificados. embalados;0;;0;'50250127479311000131550070000019081000019097;0;8.69;40.06; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:39;Troca global;00 - Documento regular
187;9303791;ARAUJO MAGRI LTDA;MS;30/01/2025;1909;1909;5.103-000;55;NFe;7;Prazo;Próprio;900;900;17;153;0;0;0;0;0;0;900;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 6285|DOCTO: ORCAMENTO 6994 - 6|Titulos: Nro 1909 Venc. 31-01-2025 Valor 900.00||Local Aplicado: RUA ALGACIR PISSINI. 1342 - - VILA CASSIANO MARCELO - AMAMBAI - MS|Valor Aproximado dos Tributos R$ 283.05 (31.45%) Fonte: IBPT|;0;;0;'50250127479311000131550070000019091000019108;0;12.33;56.77; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:39;Troca global;00 - Documento regular
188;9355398;MINERACAO LAGOA BONITA LTDA;MS;06/01/2025;742;742;5.103-000;55;NFe;9;Prazo;Próprio;200;200;17;34;0;0;0;0;0;0;200;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 7803|DOCTO: ORCAMENTO 2499 - 8|Titulos: Nro 742 Venc. 03-02-2025 Valor 200.00||Local Aplicado: ESTRADA 11 LINHA E 12 LINHA. 0 - - ZONA RURAL - DEODAPOLIS - MS|Declaro que os produtos perigosos estao adequadamente classificados. embalados. ident;0;;0;'50250127479311000131550090000007421000007438;0;2.74;12.62; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:39;Troca global;00 - Documento regular
189;9351321;LUA CLARA AGROINDUSTRIAL E TRANSPORTE LTDA;MS;06/01/2025;743;743;5.103-000;55;NFe;9;Prazo;Próprio;800;800;17;136;0;0;0;0;0;0;800;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 7279|DOCTO: ORCAMENTO 2502 - 8|Titulos: Nro 743 Venc. 03-02-2025 Valor 800.00||Local Aplicado: RODOVIA BR 376 KM 88. SN - 11 LINHA NASCENTE - ZONA RURAL - DEODAPOLIS - MS|Declaro que os produtos perigosos estao adequadamente classificados. emba;0;;0;'50250127479311000131550090000007431000007443;0;10.96;50.46; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:39;Troca global;00 - Documento regular
190;9316111;ARIANE KLOEHN LOPES EIRELE - ME;MS;06/01/2025;744;744;5.103-000;55;NFe;9;Prazo;Próprio;640;640;17;108.8;0;0;0;0;0;0;640;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 2811|DOCTO: ORCAMENTO 2503 - 8|Titulos: Nro 744 Venc. 03-02-2025 Valor 640.00||Local Aplicado: R ANA DE SOUZA EUZEBIO. 159 - SALA A - GUIRAY - IVINHEMA - MS|Valor Aproximado dos Tributos R$ 201.28 (31.45%) Fonte: IBPT|;0;;0;'50250127479311000131550090000007441000007459;0;8.76;40.37; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:39;Troca global;00 - Documento regular
191;9351323;USINA LAGUNA - ALCOOL E ACUCAR LTDA;MS;07/01/2025;745;745;5.103-000;55;NFe;9;Prazo;Próprio;3632;3632;17;617.44;0;0;0;0;0;0;3632;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 2464|DOCTO: ORCAMENTO 2507 - 8|Titulos: Nro 745 Venc. 04-02-2025 Valor 3632.00||Local Aplicado: ROD MS 476 KM 04. 0 - CAIXA POSTAL 50 - ZONA RURAL - BATAYPORA - MS|Declaro que os produtos perigosos estao adequadamente classificados. embalados.;0;;0;'50250127479311000131550090000007451000007464;0;49.74;229.1; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:40;Troca global;00 - Documento regular
192;9351323;USINA LAGUNA - ALCOOL E ACUCAR LTDA;MS;07/01/2025;746;746;5.103-000;55;NFe;9;Prazo;Próprio;502;502;17;85.34;0;0;0;0;0;0;502;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 2464|DOCTO: ORCAMENTO 2508 - 8|Titulos: Nro 746 Venc. 04-02-2025 Valor 502.00||Local Aplicado: ROD MS 476 KM 04. 0 - CAIXA POSTAL 50 - ZONA RURAL - BATAYPORA - MS|Declaro que os produtos perigosos estao adequadamente classificados. embalados. i;0;;0;'50250127479311000131550090000007461000007470;0;6.87;31.67; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:40;Troca global;00 - Documento regular
193;24576;ELETROCAL INDUSTRIA E COMERCIO DE MATERIAIS ELETRICOS LTDA;MS;07/01/2025;747;747;5.103-000;55;NFe;9;Prazo;Próprio;2800;2800;17;476;0;0;0;0;0;0;2800;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;IDCLIENTE: 1820|DOCTO: ORCAMENTO 2509 - 8|Titulos: Nro 747 Venc. 04-02-2025 Valor 2800.00||Local Aplicado: RODOVIA BR376 KM 170. 0 - - INDUSTRIAL - NOVA ANDRADINA - MS|Declaro que os produtos perigosos estao adequadamente classificados. embalados. identif;0;;0;'50250127479311000131550090000007471000007485;0;38.34;176.62; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:40;Troca global;00 - Documento regular
